"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","400","Actualizar informacion de la mascota con endpoint incorrecto","tests","Fri Dec 20 23:03:14 GMT-05:00 2024","passed","Fri Dec 20 23:03:14 GMT-05:00 2024","","PetStore","",""
"","613","Registro de una nueva mascota","tests","Fri Dec 20 23:03:12 GMT-05:00 2024","passed","Fri Dec 20 23:03:13 GMT-05:00 2024","","PetStore","",""
"","417","Registro de una nueva mascota con endpoint incorrecto","tests","Fri Dec 20 23:03:13 GMT-05:00 2024","passed","Fri Dec 20 23:03:13 GMT-05:00 2024","","PetStore","",""
"","422","Eliminacion de las mascotas por ID","tests","Fri Dec 20 23:03:16 GMT-05:00 2024","passed","Fri Dec 20 23:03:17 GMT-05:00 2024","","PetStore","",""
"","415","Busqueda de las mascotas por ID con endpoint incorrecta","tests","Fri Dec 20 23:03:16 GMT-05:00 2024","passed","Fri Dec 20 23:03:16 GMT-05:00 2024","","PetStore","",""
"","411","Eliminacion de las mascotas por ID con endpoint incorrecta","tests","Fri Dec 20 23:03:17 GMT-05:00 2024","passed","Fri Dec 20 23:03:17 GMT-05:00 2024","","PetStore","",""
"","413","Busqueda de las mascotas por estados","tests","Fri Dec 20 23:03:15 GMT-05:00 2024","passed","Fri Dec 20 23:03:15 GMT-05:00 2024","","PetStore","",""
"","420","Busqueda de las mascotas por ID","tests","Fri Dec 20 23:03:15 GMT-05:00 2024","passed","Fri Dec 20 23:03:16 GMT-05:00 2024","","PetStore","",""
"","394","Actualizar informacion de la mascota","tests","Fri Dec 20 23:03:13 GMT-05:00 2024","passed","Fri Dec 20 23:03:14 GMT-05:00 2024","","PetStore","",""
"","418","Busqueda de las mascotas por estados con endpoint incorrecta","tests","Fri Dec 20 23:03:15 GMT-05:00 2024","passed","Fri Dec 20 23:03:15 GMT-05:00 2024","","PetStore","",""
"","392","Actualizar informacion de la mascota con formato de datos incorrectos","tests","Fri Dec 20 23:03:14 GMT-05:00 2024","passed","Fri Dec 20 23:03:15 GMT-05:00 2024","","PetStore","",""
"","413","Registro de una nueva mascota con formato de datos incorrectos","tests","Fri Dec 20 23:03:13 GMT-05:00 2024","passed","Fri Dec 20 23:03:13 GMT-05:00 2024","","PetStore","",""
